Indexed Name,Repo URL,Category,,,,Groups,Count
455_gcssloop_encrypt,https://github.com/gcssloop/encrypt.git,dev tool,security,,,,
520_braintree_braintree_android,https://github.com/braintree/braintree_android.git,dev tool,finance,,,,
578_aliyun_aliyun-oss-android-sdk,https://github.com/aliyun/aliyun-oss-android-sdk.git,dev tool,storage,,,,
584_open-keychain_open-keychain,https://github.com/open-keychain/open-keychain.git,dev tool,security,,,,
653_consenlabs_token-core-android,https://github.com/consenlabs/token-core-android.git,dev tool,security,library,,,
659_topjohnwu_magiskmanager,https://github.com/topjohnwu/magiskmanager.git,dev tool,rootkit,,,,
771_gjson_androidtools,https://github.com/gjson/androidtools.git,dev tool,,,,,
780_web3j_web3j,https://github.com/web3j/web3j.git,dev tool,client,library,,,
877_eugenehoran_android-material-searchview,https://github.com/eugenehoran/android-material-searchview.git,dev tool,library,,,,
889_infinum_android-goldfinger,https://github.com/infinum/android-goldfinger.git,dev tool,library,security,,,
893_topjohnwu_magisk,https://github.com/topjohnwu/magisk.git,dev tool,rootkit,,,,
956_pubnub_java,https://github.com/pubnub/java.git,dev tool,library,,,,
1069_gpfduoduo_airplay-receiver-on-android,https://github.com/gpfduoduo/airplay-receiver-on-android.git,entertainment,,,,,
1162_gjtorikian_shelves,https://github.com/gjtorikian/shelves.git,entertainment,,,,,
1305_fyhertz_spydroid-ipcamera,https://github.com/fyhertz/spydroid-ipcamera.git,entertainment,,,,,
1586_puredark_h-viewer,https://github.com/puredark/h-viewer.git,entertainment,reader,,,,
1938_arachnid-27_cimoc,https://github.com/arachnid-27/cimoc.git,entertainment,reader,,,,
1961_jenly1314_wanandroid,https://github.com/jenly1314/wanandroid.git,entertainment,social,client,,,
1962_aa112901_remusic,https://github.com/aa112901/remusic.git,entertainment,music,,,,
1995_kangdongpu_wanandroid,https://github.com/kangdongpu/wanandroid.git,entertainment,social,,,,
2201_quicklyric_quicklyric,https://github.com/quicklyric/quicklyric.git,entertainment,music,,,,
2270_jaydenxiao2016_androidfire,https://github.com/jaydenxiao2016/androidfire.git,entertainment,reader,,,,
2441_horaapps_leafpic,https://github.com/horaapps/leafpic.git,entertainment,pictures,,,,
2517_popcorn-official_popcorn-android,https://github.com/popcorn-official/popcorn-android.git,entertainment,streaming,,,,
3042_cheikh-wang_lazywaimai-android,https://github.com/cheikh-wang/lazywaimai-android.git,entertainment,food,,,,
3339_antest1_kcanotify,https://github.com/antest1/kcanotify.git,entertainment,game,,,,
3375_hankkin_reading,https://github.com/hankkin/reading.git,entertainment,reader,,,,
3605_google_exoplayer,https://github.com/google/exoplayer.git,entertainment,media player,,,,
3755_uwetrottmann_seriesguide,https://github.com/uwetrottmann/seriesguide.git,entertainment,tracker,,,,
3769_pedrosg94_rtmp-rtsp-stream-client-java,https://github.com/pedrosg94/rtmp-rtsp-stream-client-java.git,entertainment,streaming,,,,
3820_ant-media_ant-media-server,https://github.com/ant-media/ant-media-server.git,entertainment,media server,,,,
426_butterproject_butter-android,https://github.com/butterproject/butter-android.git,entertainment,streaming,,,,
583_dreamingincodezh_douya,https://github.com/dreamingincodezh/douya.git,entertainment,client,,,,
639_cgeo_cgeo,https://github.com/cgeo/cgeo.git,entertainment,geocaching,,,,
1766_greenaddress_walletcordova,https://github.com/greenaddress/walletcordova.git,finance,client,,,,
2320_oraclechain_pocketeos-android,https://github.com/oraclechain/pocketeos-android.git,finance,,,,,
2551_trustwallet_trust-wallet-android-source,https://github.com/trustwallet/trust-wallet-android-source.git,finance,,,,,
2642_manuelsc_lunary-ethereum-wallet,https://github.com/manuelsc/lunary-ethereum-wallet.git,finance,,,,,
296_mycelium-com_wallet-android,https://github.com/mycelium-com/wallet-android.git,finance,,,,,
327_coinomi_coinomi-android,https://github.com/coinomi/coinomi-android.git,finance,,,,,
3437_samourai-wallet_samourai-wallet-android,https://github.com/samourai-wallet/samourai-wallet-android.git,finance,,,,,
3732_mtotschnig_myexpenses,https://github.com/mtotschnig/myexpenses.git,finance,,,,,
391_breadwallet_breadwallet-android,https://github.com/breadwallet/breadwallet-android.git,finance,,,,,
748_moneymanagerex_android-money-manager-ex,https://github.com/moneymanagerex/android-money-manager-ex.git,finance,,,,,
909_m2049r_xmrwallet,https://github.com/m2049r/xmrwallet.git,finance,,,,,
1124_pazaan_600seriesandroiduploader,https://github.com/pazaan/600seriesandroiduploader.git,health,medtronic,,,,
3159_citiususc_calendula,https://github.com/citiususc/calendula.git,health,medication,,,,
3759_jamorham_xdrip-plus,https://github.com/jamorham/xdrip-plus.git,health,insulin tracker,,,,
1527_qiniu_happy-dns-android,https://github.com/qiniu/happy-dns-android.git,library,dns manager,,,,
1606_materialos_android-icon-pack,https://github.com/materialos/android-icon-pack.git,library,icons,,,,
1792_google_capillary,https://github.com/google/capillary.git,library,security,encryption,,,
1890_harshalbenake_hbworkspace2-100,https://github.com/harshalbenake/hbworkspace2-100.git,library,demo,,,,
2059_commonsguy_cw-omnibus,https://github.com/commonsguy/cw-omnibus.git,library,demo,,,,
2143_eric0liang_cardocr,https://github.com/eric0liang/cardocr.git,library,ocr,,,,
2281_commonsguy_cw-androidarch,https://github.com/commonsguy/cw-androidarch.git,library,demo,,,,
2347_signalapp_libsignal-protocol-java,https://github.com/signalapp/libsignal-protocol-java.git,library,security,encryption,,,
2439_victoralbertos_rxcache,https://github.com/victoralbertos/rxcache.git,library,,,,,
306_mcxiaoke_android-next,https://github.com/mcxiaoke/android-next.git,library,,,,,
399_sromku_android-storage,https://github.com/sromku/android-storage.git,library,storage,,,,
1055_puffopensource_puff-android,https://github.com/puffopensource/puff-android.git,security,password,,,,
1172_googlesamples_android-fingerprintdialog,https://github.com/googlesamples/android-fingerprintdialog.git,security,fingerprint,,,,
1191_googlesamples_android-confirmcredential,https://github.com/googlesamples/android-confirmcredential.git,security,pin,,,,
1205_0xbb_otp-authenticator,https://github.com/0xbb/otp-authenticator.git,security,two factor authentication,,,,
1228_tozny_java-aes-crypto,https://github.com/tozny/java-aes-crypto.git,security,encryption,,,,
1294_ophio_secure-preferences,https://github.com/ophio/secure-preferences.git,security,encryption,keystore,,,
1408_multidots_android-fingerprint-authentication,https://github.com/multidots/android-fingerprint-authentication.git,security,fingerprint,,,,
1409_mauin_rxfingerprint,https://github.com/mauin/rxfingerprint.git,security,fingerprint,,,,
1529_victoralbertos_rxsocialconnect-android,https://github.com/victoralbertos/rxsocialconnect-android.git,security,OAuth,,,,
1557_maxsmile_easyvpn-free,https://github.com/maxsmile/easyvpn-free.git,security,vpn,client,,,
1749_cternes_openkeepass,https://github.com/cternes/openkeepass.git,security,key manager,,,,
1899_maxcamillo_android-keystore-password-recover,https://github.com/maxcamillo/android-keystore-password-recover.git,security,key manager,,,,
1924_dineshshetty_android-insecurebankv2,https://github.com/dineshshetty/android-insecurebankv2.git,security,demo,,,,
1942_yuger_vpn_2017,https://github.com/yuger/vpn_2017.git,security,vpn,client,,,
2153_wordpress-mobile_passcodelock-android,https://github.com/wordpress-mobile/passcodelock-android.git,security,passcode,,,,
2261_kevalpatel2106_passcodeview,https://github.com/kevalpatel2106/passcodeview.git,security,pin,,,,
2453_adorsys_secure-storage-android,https://github.com/adorsys/secure-storage-android.git,security,encryption,,,,
2645_rtyley_spongycastle,https://github.com/rtyley/spongycastle.git,security,encryption,,,,
2835_ukanth_afwall,https://github.com/ukanth/afwall.git,security,firewall,iptables,,,
2843_freeotp_freeotp-android,https://github.com/freeotp/freeotp-android.git,security,two factor authentication,,,,
2868_mjwheatley_cordova-plugin-android-fingerprint-auth,https://github.com/mjwheatley/cordova-plugin-android-fingerprint-auth.git,security,finger print,,,,
2902_simbiose_encryption,https://github.com/simbiose/encryption.git,security,encryption,,,,
2907_kunzisoft_keepassdx,https://github.com/kunzisoft/keepassdx.git,security,key manager,,,,
3056_omadahealth_lollipin,https://github.com/omadahealth/lollipin.git,security,pin,fingerprint,,,
3094_javiersantos_piracychecker,https://github.com/javiersantos/piracychecker.git,security,,,,,
3105_schwabe_ics-openvpn,https://github.com/schwabe/ics-openvpn.git,security,vpn,,,,
3166_mcodex_react-native-sensitive-info,https://github.com/mcodex/react-native-sensitive-info.git,security,key management,,,,
3182_tencent_soter,https://github.com/tencent/soter.git,security,biometric,,,,
3195_megatronking_stringfog,https://github.com/megatronking/stringfog.git,security,encryption,,,,
3203_iammehedi_secured-preference-store,https://github.com/iammehedi/secured-preference-store.git,security,encryption,,,,
3264_uccmawei_fingerprintidentify,https://github.com/uccmawei/fingerprintidentify.git,security,fingerprint,,,,
3304_oblador_react-native-keychain,https://github.com/oblador/react-native-keychain.git,security,key management,,,,
333_google_google-authenticator-android,https://github.com/google/google-authenticator-android.git,security,,,,,
3422_zeapo_android-password-store,https://github.com/zeapo/android-password-store.git,security,password management,,,,
3563_rehacktive_waspdb,https://github.com/rehacktive/waspdb.git,security,key management,,,,
3670_philippc_keepass2android,https://github.com/philippc/keepass2android.git,security,password management,,,,
368_bpellin_keepassdroid,https://github.com/bpellin/keepassdroid.git,security,password safe,,,,
3726_andotp_andotp,https://github.com/andotp/andotp.git,security,two factor authentication,,,,
3801_find-sec-bugs_find-sec-bugs,https://github.com/find-sec-bugs/find-sec-bugs.git,security,,,,,
218_guardianproject_chatsecureandroid,https://github.com/guardianproject/chatsecureandroid.git,social,chat,,,,
2293_silenceim_silence,https://github.com/silenceim/silence.git,social,sms,,,,
2332_telegram-foss-team_telegram-foss,https://github.com/telegram-foss-team/telegram-foss.git,social,messenger,,,,
2352_charlieandroiddev_instagram4android,https://github.com/charlieandroiddev/instagram4android.git,social,instagram,,,,
2548_fossasia_loklak_wok_android,https://github.com/fossasia/loklak_wok_android.git,social,messenger,,,,
2635_xiaohaibin_openeyes,https://github.com/xiaohaibin/openeyes.git,social,video,,,,
28_fetlife_android,https://github.com/fetlife/android.git,social,,,,,
2974_tgwizard_sls,https://github.com/tgwizard/sls.git,social,music,,,,
3122_klinker24_talon-for-twitter-android,https://github.com/klinker24/talon-for-twitter-android.git,social,twitter,,,,
3162_murgo_irssinotifier,https://github.com/murgo/irssinotifier.git,social,messenger,,,,
