id, repo, code, class, method, field
1995,kangdongpu_wanandroid,5667,137,705,294
2027,yanzhenjie_nohttp,9198,166,1225,414
2059,commonsguy_cw-omnibus,91304,2232,9506,4540
2130,yanzhenjie_kalle,9259,197,1373,422
2143,eric0liang_cardocr,2036,30,193,143
2153,wordpress-mobile_passcodelock-android,858,13,102,40
2168,ac-pm_inspeckage,6361,54,363,214
2187,butterproject_butter-android,42117,741,4466,2104
2201,quicklyric_quicklyric,13160,134,869,465
2213,czp3009_bilibili-api,15833,420,3205,1594
2242,f-droid_fdroidclient,40020,420,3231,1795
2252,qpython-android_qpython,31343,345,2649,1778
2256,samuelhuahui_sun,13883,199,1616,526
2261,kevalpatel2106_passcodeview,3464,49,471,192
2270,jaydenxiao2016_androidfire,25206,356,2855,1488
2281,commonsguy_cw-androidarch,14240,494,1788,866
2293,silenceim_silence,45950,691,4691,2465
2306,bpellin_keepassdroid,17404,304,1681,988
2320,oraclechain_pocketeos-android,36416,550,4200,2278
2332,telegram-foss-team_telegram-foss,384041,3250,22491,20538
2335,yandextaxitech_binaryprefs,5902,103,605,373
2347,signalapp_libsignal-protocol-java,19156,187,2331,719
2349,bihe0832_android-getapkinfo,12817,230,1342,994
2352,charlieandroiddev_instagram4android,2709,94,155,438
2368,appium_sign,807,5,33,15
2426,ttdevs_android,7398,150,695,371
2427,survivingwithandroid_surviving-with-android,10496,444,928,793
2430,nisrulz_android-examples,12323,482,1212,434
2432,coinomi_coinomi-android,50439,502,4974,2405
2439,victoralbertos_rxcache,7418,147,772,260
2441,horaapps_leafpic,14047,178,1396,689
2453,adorsys_secure-storage-android,652,8,56,21
2517,popcorn-official_popcorn-android,45135,547,4661,2239
2540,espressifapp_esptouchforandroid,1829,25,148,99
2541,nelenkov_android-backup-extractor,419,2,16,15
2548,fossasia_loklak_wok_android,3652,66,359,295
2551,trustwallet_trust-wallet-android-source,8656,207,784,537
2611,calebfenton_simplify,20681,297,2013,833
2613,sromku_android-storage,1603,29,157,78
2635,xiaohaibin_openeyes,11566,224,903,4070
2642,manuelsc_lunary-ethereum-wallet,7374,85,673,316
2645,rtyley_spongycastle,612475,5940,35907,18492
2658,onyxbits_raccoon4,149121,651,16216,4908
2665,meganz_android,185487,789,9012,7756
2688,litepalframework_litepal,12118,131,1117,351
2697,limedroid_xdroidmvp,6003,128,682,243
2731,novoda_android-demos,8219,166,911,554
2769,panpf_android-toolbox,10556,118,1283,315
2835,ukanth_afwall,21044,186,1550,863
2836,google_google-authenticator-android,6133,86,630,244
2837,aliyun_alicloud-android-demo,6531,90,543,265
2840,twitter_twitter-kit-android,27610,471,2786,1745
2843,freeotp_freeotp-android,1906,29,177,95
2850,consenlabs_token-core-android,7803,103,697,315
2859,pubnub_java,11436,144,959,560
2864,crossbario_autobahn-java,7482,148,596,465
2868,mjwheatley_cordova-plugin-android-fingerprint-auth,984,5,52,55
2902,simbiose_encryption,902,11,76,42
2907,kunzisoft_keepassdx,24451,375,2349,1311
2912,ljycoder_devring,48995,264,5545,1596
2956,nisrulz_android-utils,1916,36,159,37
2961,wiglenet_wigle-wifi-wardriving,24169,234,1815,1124
2963,konloch_bytecode-viewer,53037,460,4131,2168
2974,tgwizard_sls,9400,104,709,524
3006,senhlinsh_utils-everywhere,10190,114,1355,172
3014,paypal_selion,38205,628,3763,1477
3015,fly803_baseproject,26698,368,2787,1157
3021,vondear_rxtool,43579,467,4244,2552
3022,drklo_telegram,385768,3254,22532,20555
3038,braintree_braintree_android,31880,386,3096,1213
3040,dreamingincodezh_douya,50454,978,5807,2697
3042,cheikh-wang_lazywaimai-android,14344,245,1669,715
3045,gjson_androidtools,6826,109,673,399
3056,omadahealth_lollipin,1933,26,212,87
3094,javiersantos_piracychecker,1888,22,159,124
