id, repo, group, code, class, method, field
2242,f-droid_fdroidclient,client,40020,420,3205,1795
2252,qpython-android_qpython,dev tool,31343,345,2598,1778
2256,samuelhuahui_sun,dev tool,13883,199,1612,526
2261,kevalpatel2106_passcodeview,security,3464,49,453,192
2281,commonsguy_cw-androidarch,library,14240,494,1617,866
2293,silenceim_silence,social,45950,691,4650,2465
2320,oraclechain_pocketeos-android,finance,36416,550,4185,2278
2332,telegram-foss-team_telegram-foss,social,384041,3250,22151,20538
2335,yandextaxitech_binaryprefs,dev tool,5902,103,605,373
2349,bihe0832_android-getapkinfo,dev tool,12817,230,1342,994
2352,charlieandroiddev_instagram4android,social,2709,94,151,438
2368,appium_sign,dev tool,807,5,33,15
2430,nisrulz_android-examples,demo,12323,482,1210,434
2453,adorsys_secure-storage-android,security,652,8,56,21
2517,popcorn-official_popcorn-android,entertainment,45135,547,4528,2239
2635,xiaohaibin_openeyes,social,11566,224,826,4070
2642,manuelsc_lunary-ethereum-wallet,finance,7374,85,670,316
2645,rtyley_spongycastle,security,612475,5940,35559,18492
2658,onyxbits_raccoon4,dev tool,149121,651,16189,4908
2688,litepalframework_litepal,dev tool,12118,131,1112,351
2697,limedroid_xdroidmvp,dev tool,6003,128,670,243
2731,novoda_android-demos,dev tool,8219,166,909,554
2769,panpf_android-toolbox,dev tool,10556,118,1283,315
2864,crossbario_autobahn-java,dev tool,7482,148,596,465
2868,mjwheatley_cordova-plugin-android-fingerprint-auth,security,984,5,52,55
2902,simbiose_encryption,security,902,11,76,42
2907,kunzisoft_keepassdx,security,24451,375,2290,1311
2912,ljycoder_devring,dev tool,48995,264,5505,1596
2956,nisrulz_android-utils,dev tool,1916,36,159,37
2961,wiglenet_wigle-wifi-wardriving,client,24169,234,1811,1124
2963,konloch_bytecode-viewer,dev tool,53037,460,4052,2168
2974,tgwizard_sls,social,9400,104,700,524
3006,senhlinsh_utils-everywhere,dev tool,10190,114,1355,172
3014,paypal_selion,dev tool,38205,628,3740,1477
3015,fly803_baseproject,dev tool,26698,368,2748,1157
3021,vondear_rxtool,dev tool,43579,467,4172,2552
3056,omadahealth_lollipin,security,1933,26,187,87
3094,javiersantos_piracychecker,security,1888,22,159,124
3105,schwabe_ics-openvpn,security,19166,172,1363,938
3159,citiususc_calendula,health,26230,329,2449,1488
3162,murgo_irssinotifier,social,3433,48,296,161
3166,mcodex_react-native-sensitive-info,security,680,10,62,29
3182,tencent_soter,security,5079,94,529,333
3190,signalapp_libsignal-service-java,social,39390,312,4583,1638
3195,megatronking_stringfog,security,1238,26,77,80
3203,iammehedi_secured-preference-store,security,1456,17,128,72
3219,dizitart_nitrite-database,dev tool,41554,420,1529,1112
3222,opentelecoms-org_lumicall,social,19040,172,1361,1114
3235,surespot_android,social,41218,310,3005,1704
3249,shwenzhang_andresguard,dev tool,6007,63,463,307
3289,azuread_azure-activedirectory-library-for-android,dev tool,45537,447,4315,1828
3304,oblador_react-native-keychain,security,653,16,66,29
3305,termux_termux-api,dev tool,5025,77,365,116
3308,l123456789jy_lazy,dev tool,12738,107,1015,388
3329,jackwhliu_jackknife,dev tool,14593,203,1578,989
3339,antest1_kcanotify,entertainment,30523,138,1484,1699
3364,skydoves_preferenceroom,dev tool,1678,33,140,115
3375,hankkin_reading,entertainment,16641,199,1635,821
3463,connectbot_connectbot,utility,18292,130,1170,994
3485,thirtydegreesray_openhub,dev tool,28647,449,3265,1281
3494,tasks_tasks,utility,43772,529,3719,2387
3540,novoda_spikes,dev tool,28908,697,3130,2027
3562,x-falcon_virtual-hosts,dev tool,18398,224,1683,1137
3563,rehacktive_waspdb,security,1296,22,143,53
3571,gravitybox_gravitybox,dev tool,47033,391,3376,3712
3582,owncloud_android,utility,40529,349,2850,1863
3588,fetlife_android,social,26493,311,2676,1161
3589,signalapp_signal-android,social,90328,1327,8772,4543
3605,google_exoplayer,entertainment,129895,1305,9749,7687
3630,mycelium-com_wallet-android,finance,150735,1501,15814,6870
3706,kde_kdeconnect-android,utility,13786,167,1093,496
3707,matrix-org_matrix-android-sdk,dev tool,46185,444,3952,2100
3720,nextcloud_talk-android,social,17492,234,1100,921
3726,andotp_andotp,security,6052,59,513,253
3731,playerone-id_eoscommander,client,10087,187,963,466
3732,mtotschnig_myexpenses,finance,68209,695,5210,2673
3740,mpusher_mpush,social,16861,366,1889,943
3755,uwetrottmann_seriesguide,entertainment,46117,635,3168,3106
3759,jamorham_xdrip-plus,health,109466,1022,8431,6555
3760,iiordanov_remote-desktop-clients,utility,35810,248,2358,2722
3769,pedrosg94_rtmp-rtsp-stream-client-java,entertainment,19850,214,1818,1236
3777,m66b_open-source-email,social,17059,114,1075,789
3782,shouheng88_marknote,utility,23412,326,2393,926
3784,opendatakit_collect,utility,52101,614,3999,2150
3789,freeyourgadget_gadgetbridge,dev tool,50990,492,4239,3316
3801,find-sec-bugs_find-sec-bugs,security,32586,1033,2997,830
3820,ant-media_ant-media-server,entertainment,28876,261,2120,1025
3823,afkt_devutils,dev tool,29971,227,3050,736
